psid,pid,study1,dpIssue,dpCondition,newsArticle,collaborationCondition2,pretest1,pretest1ind,collaborationCondition,random,result.score,representativeName,representativeLastName,representativeParty,representativeOppositionParty,representativePartyName,representativeState,representativeDistrict,attack,goodComplete,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15_1,Q15_3,Q15_4,Q15_5,Q16_1,Q16_2,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q17,Q18,Q19,Q20,Q21_1,Q21_2,Q21_3,Q21_4,Q22,Q23,Q24_1,Q24_2,Q24_3,Q24_4,Q25,Q26,Q27_1,Q27_2,Q27_3,Q27_4,Q28,Q29,Q30,Q31_1,Q31_2,Q31_3,Q31_4,Q32,Q33_1,Q33_2,Q33_3,Q33_4,Q34_1,Q34_2,Q34_3,Q34_4,Q35,Q36,Q37,Q38,Q39,Q40,Q41,Q42,Q43,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q45,Q46,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Q55_1,Q56,Q57,Q58,Q59,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q80,Q81,Q82_1,Q83,Q84,Q85,Q86,Q87,Q88,Q89,Q90,Q91,Q92,Q93,Q94,Q95,Q96,Q97,Q98_1,Q99,Q100,Q101,Q102,Q103_1,Q103_2,Q103_3,Q103_4,Q103_5,Q103_6,Q104,Q105,Q106,Q107,Q108,Q109,Q110,Q111,Q112,Q113,Q114,Q115,Q116,Q117,Q118,Q119,Q120,Q121_1,Q122,Q123,Q124,LocationLatitude,LocationLongitude,LocationAccuracy
kpNgzR0iscHnRh7OBWdDFQ**,,2,2,1,1,2,1,2,1,5,,Donna Edwards,Edwards,D,Republican,Democratic,MD,4,for being too conservative,1,2,2,18,1,1,3,4,1,,,,2,1,1,98,96,100,100,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,20744,744,1,1,,,,73,2,3,2,6,,3,14,he is great caring person.,1,,1,1,2,4,1,91,6,7,6,7,5,7,8,8,5,6,1,1,1,,,1,3,3,1,1,1,,,,,,4,90,11,17,15,39.29040527,-76.61219788,-1
kpNgzR0iscHrAOZiLDz4Kg**,,1,2,2,3,3,3,1,3,4,3,,,,Republican,,,,for being too conservative,1,2,2,15,1,1,3,7,1,,,,1,1,1,85,6,100,93,3,3,3,3,3,3,5,1,1,1,1,3.306,3.306,9.632,1,safari,1,2.474,2.474,8.001,1,galaxy,1,2.82,2.82,14.074,1,lactose,1,1,0,0,13.382,0,1,1,1,,1,,,,,republican,,2,I'm not concerned with their feelings,1,1,,,,,,,,,1,1,89015,2884,1,1,,,10,,68,4,3,2,12,undecided,1,,,,,1,,,4,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.03970337,-114.9819031,-1
kpNgzR0iscGptB0RK48IUg**,,1,2,2,3,1,1,1,4,3,2,William Thornberry,Thornberry,R,Democrat,Republican,TX,13,for being too conservative,1,2,1,50,1,1,3,4,1,,,,2,1,1,60,18,50,70,3,3,3,3,3,3,3,1,1,1,1,8.018,8.018,20.69,1,safari,1,16.443,16.443,27.247,1,galaxy,1,16.026,16.026,30.008,1,,1,1,0,0,34.597,0,1,,1,1,1,,,,,affiliation,,2,someone will always get left out,1,1,,,,,,,,,1,1,76265,2054,1,1,4,,,,69,3,2,2,13,will support him as long as he works with democrats,1,,,,,1,,,6,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.80340576,-97.26650238,-1
kpNgzR0iscGSA_tQe55D9Q**,,2,2,3,3,4,2,2,2,5,,Gerald McNerney,McNerney,D,Republican,Democratic,CA,9,for being too conservative,1,2,5,43,1,1,4,2,1,,,,2,1,1,39,9,100,28,4,2,3,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,95207,2230,1,,1,,,70,4,3,3,,9,3,13,He is a Democrat who is fairly trustworthy in his choices regarding the people.,1,1,,1,3,2,3,58,6,7,6,6,7,7,6,7,7,7,1,1,,,1,1,3,2,1,1,,,1,,,,4,7,11,14,14,37.95770264,-121.290802,-1
kpNgzR0iscENvSW75bpn8g**,,2,2,3,3,1,3,1,2,4,,Daniel Webster,Webster,R,Democrat,Republican,FL,10,for being too conservative,1,2,1,42,1,5,2,4,2,,2,2,,2,1,93,86,65,97,3,3,4,3,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,33881,9555,1,,1,,,72,2,2,3,6,9,2,12,he's OK,1,,1,1,2,2,2,19,8,6,5,6,7,7,7,6,7,7,1,1,,,1,2,2,1,1,1,,,,,,1,3,30,11,16,16,28.05729675,-81.5687027,-1
kpNgzR0iscG0a5CfavxIIg**,,1,2,3,3,2,3,2,2,5,2,Janice Hahn,Hahn,D,Republican,Democratic,CA,44,for being too conservative,1,1,1,10,1,2,4,4,3,1,,,,1,1,41,63,70,43,4,4,5,5,4,5,4,1,1,1,1,13.779,13.779,27.411,1,safari,1,6.233,6.233,17.151,1,galaxy,1,2.953,2.953,25.194,1,dont know,1,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,1,1,1,90805,3604,1,1,,5,,,30,2,2,2,13,gfcfhbg,1,,,,,,1,,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.86270142,-118.1806946,-1
kpNgzR0iscFY1lDvY40-Fw**,,2,2,1,1,3,3,2,4,3,,Michael Michaud,Michaud,D,Republican,Democratic,ME,2,for being too conservative,1,2,1,38,1,1,2,4,3,1,,,,2,1,50,29,43,65,2,1,3,1,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4769,2009,1,,,,1,80,2,3,3,2,,3,12,listens to the people,1,1,,1,3,3,3,29,6,5,4,6,6,5,6,6,6,6,1,1,1,,,1,3,2,1,1,,,,,,1,4,25,9,15,14,46.68850708,-67.9910965,-1
kpNgzR0iscGpVSk2IhW5cw**,,1,1,1,3,1,3,1,3,5,1,Bruce Braley,Braley,D,Republican,Democratic,IA,1,for being too conservative,1,1,1,45,1,5,5,4,2,,2,2,,2,1,91,70,60,80,4,4,4,4,4,4,4,1,1,1,1,2.891,2.891,30.008,1,,1,3.316,3.316,15.547,1,galaxy,1,2.103,2.103,30.009,1,,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,1,1,52302,1226,1,1,4,,,,61,6,5,4,9,He doesn't seem to do much of anything in Congress.  You hardly of him exhibiting leadership or being in the news.,1,1,,,,,,7,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.91020203,-110.8995972,-1
kpNgzR0iscHiejtLsMvnnA**,,2,1,3,1,3,3,1,4,4,,John Culberson,Culberson,R,Democrat,Republican,TX,7,for being too conservative,1,2,1,12,1,4,3,2,2,,2,2,,2,1,57,81,2,90,3,3,3,3,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,77429,1927,1,,,,1,51,4,5,3,6,,4,12,none,1,,1,1,3,3,3,63,7,6,6,6,5,5,4,6,6,6,1,1,1,,,2,2,2,1,1,,,,,,1,4,51,11,16,16,29.76330566,-95.36329651,-1
kpNgzR0iscHDkMBBdlbzTQ**,,1,1,2,2,3,3,2,1,4,1,Michael Fitzpatrick,Fitzpatrick,R,Democrat,Republican,PA,8,for being too conservative,1,1,1,37,1,4,5,2,2,,2,2,,1,1,63,54,54,60,3,2,3,2,2,4,4,1,1,1,1,4.907,4.907,25.844,1,AFFICA,1,1.766,1.766,8.5,1,GALAXY,1,2.5,2.5,22.453,1,SENTENCE,1,1,0,0,2.187,0,1,,,,,1,1,,1,,NONE,2,,1,1,,,,,,,,,1,1,19021,122,1,1,,,10,,59,2,3,3,12,NONE,1,,1,,,,,2,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7684021,-73.52510071,-1
