psid,pid,study1,dpIssue,dpCondition,newsArticle,collaborationCondition2,pretest1,pretest1ind,collaborationCondition,random,result.score,representativeName,representativeLastName,representativeParty,representativeOppositionParty,representativePartyName,representativeState,representativeDistrict,attack,goodComplete,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15_1,Q15_3,Q15_4,Q15_5,Q16_1,Q16_2,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q17,Q18,Q19,Q20,Q21_1,Q21_2,Q21_3,Q21_4,Q22,Q23,Q24_1,Q24_2,Q24_3,Q24_4,Q25,Q26,Q27_1,Q27_2,Q27_3,Q27_4,Q28,Q29,Q30,Q31_1,Q31_2,Q31_3,Q31_4,Q32,Q33_1,Q33_2,Q33_3,Q33_4,Q34_1,Q34_2,Q34_3,Q34_4,Q35,Q36,Q37,Q38,Q39,Q40,Q41,Q42,Q43,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q45,Q46,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Q55_1,Q56,Q57,Q58,Q59,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q80,Q81,Q82_1,Q83,Q84,Q85,Q86,Q87,Q88,Q89,Q90,Q91,Q92,Q93,Q94,Q95,Q96,Q97,Q98_1,Q99,Q100,Q101,Q102,Q103_1,Q103_2,Q103_3,Q103_4,Q103_5,Q103_6,Q104,Q105,Q106,Q107,Q108,Q109,Q110,Q111,Q112,Q113,Q114,Q115,Q116,Q117,Q118,Q119,Q120,Q121_1,Q122,Q123,Q124,LocationLatitude,LocationLongitude,LocationAccuracy
kpNgzR0iscHwUGTaReINfQ**,,2,2,1,2,3,1,2,1,5,,Bob Gibbs,Gibbs,R,Democrat,Republican,OH,7,for being too conservative,1,1,1,45,1,2,4,2,2,,2,2,,1,1,76,53,50,73,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,44138,2610,1,1,,,,72,3,2,2,8,,2,13,no thougfhts,1,,1,1,3,3,3,46,6,6,6,6,5,5,5,7,6,7,1,1,,1,,1,3,3,1,1,,1,,,,,3,67,11,16,16,41.39909363,-81.60739899,-1
kpNgzR0iscEaJfyS85I3_Q**,,1,2,3,1,4,3,1,2,4,2,John Campbell,Campbell,R,Democrat,Republican,CA,45,for being too conservative,1,2,4,5,1,6,5,4,1,,,,2,1,3,55,84,77,85,4,5,4,4,4,4,4,1,1,1,1,2.709,2.709,9.001,1,Safari,1,1.877,1.877,5.863,1,galaxy,1,0,0,1.003,0,,1,1,0,0,1.814,0,1,1,,1,1,,,,,just cause,,1,give everyone a chance,1,1,,,,,,,,,1,1,92630,1710,1,1,,,,9,66,3,2,3,11,okay guy,1,,,,,,1,,3,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.60539246,-117.6674957,-1
kpNgzR0iscGhZoBPDlnb5w**,,1,1,3,1,1,3,2,4,1,1,,,,Republican,,,,for being too conservative,1,2,2,25,1,1,2,6,1,,,,1,1,1,100,61,100,100,4,4,4,4,4,4,4,1,1,1,1,22.876,22.876,30.005,1,safari,1,0,0,0.246,0,,1,12.54,12.54,23.134,1,chastise,1,1,0,0,1.712,0,1,1,1,,1,,,,,don't know why,,2,I don't like going back changing things,1,1,,,,,,,,,1,1,75080,4248,1,1,9,,,,73,4,4,3,12,none,1,,,1,,,,4,,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.97219849,-96.73760223,-1
kpNgzR0iscF4KolyqqNxOA**,,2,2,1,2,1,2,2,3,2,,Billy Long,Long,R,Democrat,Republican,MO,7,for being too conservative,1,2,1,50,1,5,3,1,2,,1,1,,2,1,56,79,0,68,5,3,5,3,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,64804,3142,1,,,1,,94,1,1,2,10,9,2,14,He is working for the conservative party,1,1,,1,4,4,4,0,6,6,4,7,4,4,4,8,6,4,1,1,,1,,1,2,2,1,1,,,,1,,,3,50,11,15,15,37.21530151,-93.29820251,-1
kpNgzR0iscEVqb5kHWL_6A**,,2,2,2,3,3,3,1,2,5,,Richard Larsen,Larsen,D,Republican,Democratic,WA,2,for being too conservative,1,1,1,28,1,4,5,4,1,,,,2,1,1,80,10,70,50,3,3,5,3,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,98043,6446,1,,1,,,81,1,2,2,6,9,1,14,He is a sensible politican,1,,1,1,3,3,3,1,6,7,6,7,6,4,4,7,7,7,1,1,,,1,1,3,2,1,1,,,,,1,,4,9,10,14,14,47.89849854,-122.2588959,-1
kpNgzR0iscGdiq4dIO1yjA**,,2,1,2,3,2,2,1,2,1,,Henry Cuellar,Cuellar,D,Republican,Democratic,TX,28,for being too conservative,1,1,3,15,1,1,4,4,1,,,,2,1,7,70,80,78,78,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,78040,3233,1,,1,,,71,4,5,3,6,8,3,12,None,1,,1,1,3,3,3,64,6,7,8,4,4,4,4,4,4,4,1,1,,,1,1,2,2,1,1,,,1,,,,3,53,11,16,16,27.55960083,-99.46080017,-1
kpNgzR0iscG9VQz4nk6iMw**,,2,1,2,1,1,3,2,1,2,,,,,,,,,,,1,2,14,1,3,7,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.26939392,-76.74469757,-1
kpNgzR0iscFbUE4GYt7fMQ**,,2,2,1,1,1,2,2,2,1,,Thomas Price,Price,R,Democrat,Republican,GA,6,for being too conservative,1,1,2,33,1,6,5,6,1,,,,1,2,1,71,50,82,70,3,3,5,3,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,30338,5777,1,,1,,,51,3,3,2,6,10,2,12,I feel good about him,1,1,,1,3,3,3,41,6,6,6,6,6,6,5,6,6,6,1,1,1,,,2,2,1,1,1,,,1,,,,3,31,10,15,15,33.88999939,-84.30280304,-1
kpNgzR0iscHuaySxjf8SQw**,,1,2,1,1,4,3,2,4,2,1,Brad Wenstrup,Wenstrup,R,Democrat,Republican,OH,2,for being too conservative,1,2,1,32,1,3,2,5,1,,,,2,1,1,60,19,60,91,3,3,3,3,3,3,3,1,1,1,1,0,0,15.291,0,,1,5.984,5.984,10.044,1,galaxy,1,0,0,9.699,0,,1,1,0,0,8.485,0,1,1,1,,1,,,,,I don't agree with most republicans,,2,I think my team would be stronger with my initial choices/,1,1,,,,,,,,,1,1,45255,5037,1,1,,,,4,50,4,2,3,12,I am not familiar with Brad Wenstrup just by what I've read.,1,,,,1,,,,4,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0131073,-84.20490265,-1
kpNgzR0iscF_CQprwBudsQ**,,2,2,2,3,2,2,1,4,2,,,,,,,,,,,1,2,9,1,5,4,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.8704071,-80.46040344,-1
kpNgzR0iscEz-YbmWoAeIQ**,,2,1,1,2,3,2,1,4,4,,,,,,,,,,,1,2,5,1,2,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.55380249,-77.46029663,-1
kpNgzR0iscFd7zYZSXVawQ**,,2,2,2,2,3,3,2,1,1,,Virginia Foxx,Foxx,R,Democrat,Republican,NC,5,for being too conservative,1,2,1,53,1,1,5,2,2,,2,1,,1,1,74,68,22,52,4,3,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,27295,0,1,1,,,,47,4,3,3,6,,4,12,neutral,1,1,,1,3,3,3,15,6,6,6,6,6,6,6,6,6,6,1,1,,1,,2,3,2,1,1,,,,,,1,3,39,11,16,16,35.70930481,-80.45230103,-1
kpNgzR0iscEiGMB0z1F5QQ**,,1,1,3,2,1,2,1,2,2,1,Bruce Braley,Braley,D,Republican,Democratic,IA,1,for being too conservative,1,1,1,39,1,5,6,3,2,,2,2,,2,1,71,82,29,73,5,1,5,4,2,5,5,1,1,1,1,11.243,11.243,19.581,1,Safari,1,3.491,3.491,9.011,1,Galaxt,1,0,0,23.451,0,,1,1,0,0,16.376,0,1,1,1,1,,,,,,The other players were just a better choice for me,,2,I tried to selre,1,1,,,,,,,,,1,1,52403,2743,1,1,4,,,,70,3,2,2,13,He does the best for his constituants,1,,,1,,,,6,,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.97309875,-91.5766983,-1
kpNgzR0iscFTBu1ZbuHpqA**,,1,1,2,2,4,2,1,3,4,,,,,,,,,,,2,1,39,1,1,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.26280212,-121.226799,-1
kpNgzR0iscGlyN0PWmFUFQ**,,2,1,1,2,4,1,2,1,4,,,,,,,,,,,1,1,14,1,1,3,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.33140564,-83.04570007,-1
kpNgzR0iscGVp6r5Vt7Opg**,,1,2,2,1,4,2,2,4,4,0,Ra̼l Labrador,Labrador,R,Democrat,Republican,ID,1,for being too conservative,1,2,1,7,2,1,2,2,2,,1,2,,1,1,43,66,1,78,5,5,5,5,5,5,5,1,1,1,1,7.997,15.934,17.041,3,,1,6.5,6.5,12.731,1,,1,0,0,2.85,0,,1,1,0,0,15.577,0,1,1,,1,1,,,,,none,,2,,1,1,,,,,,,,,1,1,83615,8,1,1,,,,4,100,1,1,1,15,great leader,1,,,,,1,,,4,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.88420105,-115.7790985,-1
kpNgzR0iscHnA8dcCNAjrw**,,2,2,3,2,4,3,1,2,2,,,,,,,,,,,2,1,45,1,1,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.72210693,-95.64070129,-1
kpNgzR0iscEQ1p-KGujcqA**,,2,1,1,3,2,3,2,3,2,,,,,,,,,,,2,4,13,1,1,4,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.75059509,-73.82039642,-1
kpNgzR0iscFqZicidkeWmg**,,1,2,3,1,1,3,1,3,1,,,,,,,,,,,1,1,37,1,4,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.05999756,-91.05680084,-1
kpNgzR0iscGv2HM5t-4Hfg**,,1,2,3,2,2,2,2,2,2,,,,,,,,,,,2,4,22,1,6,6,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.37510681,-71.10559845,-1
kpNgzR0iscEpwZEYfvgNyQ**,,1,2,3,2,1,2,2,2,3,2,Daniel Kildee,Kildee,D,Republican,Democratic,MI,5,for being too conservative,1,2,1,23,1,8,5,2,2,,2,2,,2,1,39,61,30,50,3,3,3,3,3,4,4,1,1,1,1,3.966,3.966,9.969,1,safari,1,2.182,2.182,10.741,1,galaxy,1,4.878,4.878,30.014,1,,1,1,0,0,10.772,0,1,1,1,1,,,,,,Political affiliation,,2,Happy with my choice,1,1,,,,,,,,,1,1,48420,8242,1,1,4,,,,50,6,4,3,12,Career politician...need I say more,1,,,,,,1,,7,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.17759705,-83.7071991,-1
kpNgzR0iscEcA3nLvR--GA**,,2,1,3,1,2,1,2,4,2,,Paul Ryan,Ryan,R,Democrat,Republican,WI,1,for being too conservative,1,2,1,24,1,8,3,1,2,,1,2,,2,1,80,81,51,70,5,5,5,5,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,53158,3647,1,,,,1,100,1,1,1,11,,1,15,i feel he is trying for hard to do his job and help his community and country,1,,1,1,2,2,3,0,6,6,5,8,4,4,4,8,4,4,1,1,1,,,1,2,3,1,1,,1,,,,,3,40,11,17,16,42.58470154,-87.82119751,-1
kpNgzR0iscFu5QHTsNd7jA**,,2,1,2,3,2,2,2,2,4,,John Lewis,Lewis,D,Republican,Democratic,GA,5,for being too conservative,1,2,2,2,1,2,2,4,1,,,,2,1,1,52,4,73,100,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,30288,3028,1,,1,,,32,4,2,3,6,9,4,12,neutral ,1,1,,1,3,3,3,12,6,5,6,7,6,6,6,6,6,6,1,1,,,1,1,3,2,1,1,,,1,,,,3,19,11,16,15,33.61160278,-84.37259674,-1
kpNgzR0iscFnyxAjENa5pg**,,2,2,2,3,4,1,1,2,4,,Emanuel Cleaver,Cleaver,D,Republican,Democratic,MO,5,for being too conservative,1,1,1,39,1,9,6,2,2,,1,2,,2,1,83,77,53,56,4,3,4,3,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,64145,1618,1,,1,,,82,1,1,2,7,9,3,12,"He is okay, for a democrat.",1,,1,1,4,2,3,19,4,5,5,7,7,6,4,8,4,4,1,1,,,1,1,2,2,1,1,,1,,,,,4,32,10,14,17,38.95629883,-94.58380127,-1
kpNgzR0iscHmpSES7wJSvQ**,,2,2,2,1,2,3,1,3,1,,Suzan DelBene,DelBene,D,Republican,Democratic,WA,1,for being too conservative,1,1,1,45,1,9,6,6,1,,,,1,2,7,89,16,78,78,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,98052,1224,1,,,1,,76,3,2,3,5,9,2,12,"Positive in general that she's a Democrat, but fairly neutral about her performance",1,1,,1,4,4,4,0,6,6,4,6,4,4,4,8,4,4,1,1,1,,,1,4,3,1,1,,,,,1,,3,28,11,15,16,47.60620117,-122.3320999,-1
kpNgzR0iscFKTytDUYEeVA**,,1,1,1,3,1,2,1,3,1,,,,,,,,,,,2,1,48,1,9,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.05189514,-81.97360229,-1
kpNgzR0iscFtSnjpTQVSNg**,,1,1,3,1,3,1,1,1,4,2,Gerald Connolly,Connolly,D,Republican,Democratic,VA,11,for being too conservative,1,2,1,15,1,9,6,6,1,,,,2,2,1,62,10,49,94,4,4,5,4,4,4,5,1,1,1,1,5.393,5.393,11.834,1,Safari,1,1.995,1.995,7.825,1,Galaxy,1,0,0,30.762,0,,1,1,0,0,2.267,0,1,,,,,,1,1,1,,Wanting to have a more diverse group,2,Someone is always going to be left out,1,1,,,,,,,,,1,1,22032,2033,1,1,,,7,,60,3,2,2,13,I do not know much about him,1,,,1,,,,6,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.80180359,-77.21009827,-1
kpNgzR0iscHP_eGQ7P8CbA**,,1,1,1,1,1,3,2,3,5,,,,,,,,,,,1,1,37,1,7,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.23449707,-71.52269745,-1
kpNgzR0iscFH1VI6M3SyWQ**,,2,1,1,3,3,1,2,3,1,,Kay Granger,Granger,R,Democrat,Republican,TX,12,for being too conservative,1,1,3,30,1,7,5,2,2,,2,1,,2,1,71,61,29,70,4,4,4,4,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,76106,2909,1,,,1,,50,4,2,2,6,7,2,12,Please represent us better.,1,,1,1,4,4,4,0,6,4,5,8,4,4,4,8,4,4,1,1,,,1,1,2,2,1,1,,1,,,,,3,50,11,18,15,32.75869751,-97.33209991,-1
kpNgzR0iscEtB7BE63En7w**,,1,1,3,1,4,1,2,4,5,,,,,,,,,,,2,1,50,1,8,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8500061,-87.65000153,-1
kpNgzR0iscE2iU8zubsvxg**,,2,2,3,2,4,1,1,3,3,,Daniel Maffei,Maffei,D,Republican,Democratic,NY,24,for being too conservative,1,1,1,21,1,6,5,4,1,,,,2,2,6,79,56,68,72,3,3,3,3,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,14568,9420,1,,,1,,41,4,4,3,8,9,2,12,I have no feelings towards Dan Maffei,1,1,,1,2,2,2,28,6,6,6,6,5,5,5,7,6,7,1,1,,1,,1,1,2,1,1,1,,,,,,4,31,10,15,15,43.14329529,-77.28790283,-1
kpNgzR0iscHmpSES7wJSvQ**,,2,1,1,3,2,1,1,1,2,,Suzan DelBene,DelBene,D,Republican,Democratic,WA,1,for being too conservative,1,1,1,45,1,9,6,6,1,,,,1,2,7,84,17,76,78,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,98052,1224,1,1,,,,48,3,2,3,6,,2,12,"Support her in general as she's a Democrat, but fairly neutral w/respect to her perfomance",1,1,,1,4,4,4,0,6,6,4,6,4,4,4,8,4,4,1,1,,,1,1,4,4,1,1,1,,,,,,3,16,11,15,16,47.60620117,-122.3320999,-1
kpNgzR0iscGrd1BikP1Abg**,,1,2,2,3,3,2,1,2,3,,,,,,,,,,,1,1,50,1,1,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.38819885,-82.37539673,-1
kpNgzR0iscGHO-uYWjFKmg**,,2,1,2,1,1,1,2,1,3,,,,,,,,,,,2,1,17,1,7,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.70910645,-87.75959778,-1
kpNgzR0iscEowZkFbN3S3A**,,1,1,1,2,3,3,1,4,2,2,Michael Thompson,Thompson,D,Republican,Democratic,CA,5,for being too conservative,1,2,1,12,1,1,5,6,1,,,,2,1,7,91,20,65,87,3,3,3,3,3,3,3,1,1,1,1,2.823,2.823,6.401,1,safari,1,1.942,1.942,5.705,1,galaxy,1,1.582,1.582,22.27,1,,1,1,0,0,6.498,0,1,,,,,1,,1,1,,Last one listed,2,I picked them first,1,1,,,,,,,,,1,1,94503,3925,1,1,,,5,,75,4,2,3,12,I do not know enough about him to say.,1,1,,,,,,5,,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.11650085,-122.2090988,-1
kpNgzR0iscHcOb-P3vPB8A**,,2,2,2,3,1,2,1,3,2,,Thomas Price,Price,R,Democrat,Republican,GA,6,for being too conservative,1,1,1,50,1,7,6,2,2,,2,2,,2,1,92,69,19,50,5,3,4,2,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,30097,0,1,,,1,,49,4,5,3,8,8,2,13,Mostly neutral but I am not happy with congress at all and think we need changes in Washington.,1,,1,1,4,5,4,0,6,4,5,5,4,5,4,8,4,5,1,1,,,1,1,1,2,1,1,,,,1,,,3,50,11,15,13,34.040802,-84.16649628,-1
kpNgzR0iscH98hisN9rIdg**,,1,2,1,2,2,3,2,2,3,1,Joseph Courtney,Courtney,D,Republican,Democratic,CT,2,for being too conservative,1,1,1,55,1,8,6,1,2,,1,1,,2,1,83,85,2,92,2,1,4,1,2,5,5,1,1,1,1,9.715,9.715,19.677,1,Africa,1,7.837,7.837,18.445,1,Galaxy,1,16.077,16.077,24.657,1,Ti,1,1,0,0,12.211,0,1,,,,,1,1,,1,,Is not like me,1,The other people are not like me,1,1,,,,,,,,,1,1,6443,2958,1,1,,13,,,9,7,5,5,9,I do not like his policies he voted for ct income tax,1,,,,1,,,,7,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.33869934,-72.69069672,-1
kpNgzR0iscEQsV4XZj128Q**,,2,1,2,2,4,2,2,2,2,,Virginia Foxx,Foxx,R,Democrat,Republican,NC,5,for being too conservative,1,2,1,40,1,2,4,2,1,,,,2,2,1,97,70,71,62,4,1,4,1,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,28601,1042,1,,1,,,69,1,2,2,7,9,3,12,GOOD JOB,1,,1,1,2,3,2,72,7,5,6,6,6,6,6,6,7,7,1,1,,1,,2,3,2,1,1,,,1,,,,3,40,11,16,16,25.77430725,-80.1937027,-1
kpNgzR0iscEyeWprjTCjvg**,,2,1,3,3,2,2,1,3,2,,,,,,,,,,,1,1,58,1,4,5,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.54589844,-122.5888977,-1
kpNgzR0iscEYg-f4fBEizA**,,2,1,3,2,4,2,1,3,5,,,,,,,,,,,2,1,39,1,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.92059326,-87.7016983,-1
kpNgzR0iscG2i-hZGg54iw**,,2,2,3,2,2,1,1,4,3,,Rosa DeLauro,DeLauro,D,Republican,Democratic,CT,3,for being too conservative,1,1,1,34,1,9,6,7,1,,,,2,2,5,61,0,46,62,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6515,2113,1,,,,1,76,2,1,2,9,,1,14,good,1,1,,1,3,2,2,28,7,7,7,5,7,4,4,7,4,4,1,1,,1,,2,1,1,1,1,1,,,,,,3,52,11,16,16,41.33039856,-72.97059631,-1
kpNgzR0iscGE7hflYoSf0A**,,1,1,2,2,3,2,1,3,1,3,William Cassidy,Cassidy,R,Democrat,Republican,LA,6,for being too conservative,1,2,1,14,1,7,7,3,2,,1,2,,2,1,91,60,29,100,4,3,4,3,3,4,5,1,1,1,1,1.596,1.596,24.471,1,safari,1,2.887,2.887,7.958,1,galaxy,1,8.4,8.4,30.009,1,lactose,1,1,0,0,6.06,0,1,,,,,1,,1,1,,like my chances with a team of women,2,I'm not overly concerned with how that person feels.,1,1,,,,,,,,,1,1,70810,3410,1,1,,,7,,25,4,4,3,12,don't know much about him,1,,1,,,,,4,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.35490417,-91.07679749,-1
